,Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Latitude,Longitude,Opening_Date_Clean,Type_Main,Speed_Mph,Height_Ft,Inversions_Clean,Gforce_Clean,No
0,Switchback Railway,Coney Island,Removed,LaMarcus Adna Thompson,1884,40.574,-73.978,1884-06-16,Wood,6,,0,2.9,0
1,Flip Flap Railway,Sea Lion Park,Removed,Lina Beecher,1895,40.578,-73.979,1895-01-01,Wood,,,1,12,1
2,Switchback Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1896,41.58,-81.57,,Other,,,0,,2
3,Loop the Loop (Coney Island),Other,Removed,Edwin Prescott,1901,40.5745,-73.978,1/1/1901,Steel,,,1,,3
4,Loop the Loop (Young's Pier),Other,Removed,Edwin Prescott,1901,39.3538,-74.4342,1/1/1901,Steel,,,1,,4
5,Cannon Coaster,Coney Island,Removed,George Francis Meyer,1902,40.575,-73.98,1/1/1902,Wood,,,0,,5
6,Leap-The-Dips,Lakemont Park,Operating,Federal Construction Company,1902,,,1/1/1902,Wood,10,,0,,6
7,Figure Eight (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1904,41.58,-81.57,,Other,,,0,,7
8,Drop the Dip,Coney Island,Removed,Arthur Jarvis,1907,40.5744,-73.9786,6/6/1907,Other,,,0,,8
9,Scenic Railway (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1907,41.58,-81.57,,Other,,,0,,9
10,Loop the Loop (Olentangy Park),Olentangy Park,Removed,Lina Beecher,1908,40.0204,-83.0143,1/1/1908,Steel,,,1,,10
11,Aero Dips,"Cleveland, Ohio, United States",Closed,,1909,41.58,-81.57,,Other,,,0,,11
12,Backety-Back Scenic Railway,Crystal Beach,Removed,,1909,42.8675,-79.0592,1/1/1909,Wood,10,,0,,12
13,Racer (1910 roller coaster),Kennywood,Operating,Charlie Mach,1910,40.3869,-79.8619,1/1/1927,Wood,40,,0,,13
14,Derby Racer,Revere Beach,Removed,Fred W. Pearce,1911,42.42,-70.986,1/1/1911,Wood,,,0,,14
15,The Great Scenic Railway,Luna Park Melbourne,Operating,LaMarcus Thompson,1912,,,12/1/1912,Wood,37.3,52.5,0,,15
16,Zippin Pippin,Other,,The Gravity Group,1912,,,,Wood,40,,0,,16
17,Racing Coaster,"Cleveland, Ohio, United States",Closed,,1913,41.58,-81.57,,Other,,,0,,17
18,Whirl Pool Dips,Tolchester Beach Park,Removed,,1913,39.214,-76.231,1/1/1913,Wood,,,0,,18
19,Green Dragon (Lake Compounce),Lake Compounce,Removed,,1914,41.642,-72.923,1/1/1914,Wood,,,0,,19
20,The Wild One (roller coaster),Six Flags America,,Dinn Corporation,1917,38.9092,-76.7725,,Wood,53,,0,,20
21,Jack Rabbit (Clementon Park),Clementon Park,Removed,Philadelphia Toboggan Coasters,1919,39.8041,-74.9844,1/1/1919,Wood,,,0,,21
22,Jack Rabbit (Kennywood),Kennywood,Operating,Harry C. Baker,1920,40.3867,-79.8628,1/1/1920,Wood,45,,0,,22
23,Jack Rabbit (Seabreeze),Seabreeze Amusement Park,Operating,Harry C. Baker,1920,43.2316,-77.5432,1/1/1920,Wood,42,,0,,23
24,Scenic Railway (roller coaster),Dreamland Margate,Operating,,1920,51.3853,1.3775,7/3/1920,Wood,35,,0,,24
25,Roller Coaster (Lagoon),Lagoon Amusement Park,Operating,,1921,40.9849,-111.8951,7/15/1921,Wood,45,62,0,,25
26,Big Dipper (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,William Strickler,1923,53.7892,-3.0569,8/23/1923,Wood,40,,0,3.7,26
27,Wild Cat (Hersheypark),Hersheypark,Removed,Philadelphia Toboggan Coasters,1923,40.2882,-76.6535,6/16/1923,Wood,,,0,,27
28,The Bobs (roller coaster),Riverview Park,Removed,Prior and Church,1924,41.9407,-87.6924,1/1/1924,Wood,50,,0,,28
29,Giant Dipper,Santa Cruz Beach Boardwalk,Operating,Arthur Looff,1924,36.9647,-122.0153,5/17/1924,Wood,55,,0,,29
30,Pippin (roller coaster),Kennywood,Operating,,1924,40.3889,-79.865,1/1/1968,Wood,55,,0,,30
31,The Thriller (roller coaster),"Cleveland, Ohio, United States",Closed,,1924,41.58,-81.57,,Other,,,0,,31
32,Thunderhawk (Dorney Park),Dorney Park & Wildwater Kingdom,Operating,Philadelphia Toboggan Coasters,1924,40.5798,-75.5355,3/30/1924,Wood,45,,0,,32
33,Big Dipper (Geauga Lake),Geauga Lake,Removed,,1925,41.3491,-81.378,1/1/1925,Wood,32,,0,,33
34,Cyclone (Revere Beach),Revere Beach,Removed,Traver Engineering,1925,42.42,-70.986,1/1/1925,Wood,45,,0,,34
35,Giant Dipper (Belmont Park),Other,Operating,"Frank Prior, Fredrick Church",1925,,,7/4/1925,Wood,48,,0,,35
36,Jazz Railway,Rocky Glen Park,Removed,Traver Engineering,1925,41.3533,-75.7059,1/1/1925,Wood,,,0,,36
37,Thunderbolt (1925 roller coaster),Coney Island,Removed,,1925,40.5739,-73.9825,1/1/1925,Wood,,,0,,37
38,Thunderbolt (Savin Rock),Savin Rock,Removed,Traver Engineering,1925,41.257,-72.95,5/5/1925,Wood,,,0,,38
39,Crystal Beach Cyclone,Crystal Beach Park,Removed,Traver Engineering,1926,42.8617,-79.0598,1/1/1926,Wood,60,,0,4,39
40,Sesquicentennial Cyclone,Sesquicentennial Exposition,Removed,Traver Engineering,1926,39.9087,-75.1733,5/31/1926,Wood,,,0,,40
41,Tornado (Coney Island),Coney Island,Removed,,1926,40.574,-73.979,1/1/1926,Wood,,,0,,41
42,Coney Island Cyclone,"Luna Park, Coney Island",Operating,,1927,40.5742,-73.9778,6/26/1927,Other,60,,0,3.75,42
43,Cyclone (Palisades Amusement Park),Palisades Amusement Park,Removed,Traver Engineering,1927,40.8281,-73.9778,9/10/1927,Wood,,,0,,43
44,Lightning (Revere Beach),Revere Beach,Removed,Traver Engineering,1927,42.42,-70.986,7/2/1927,Wood,,,0,,44
45,Racer (Kennywood),Kennywood,Operating,Charlie Mach,1927,40.3869,-79.8619,1/1/1927,Wood,40,,0,,45
46,Wildcat (Lake Compounce),Lake Compounce,Operating,Philadelphia Toboggan Coasters,1927,41.6408,-72.9231,1/1/1927,Wood,48,,0,,46
47,Zip (roller coaster),Oaks Amusement Park,Removed,Traver Engineering,1927,45.473,-122.6606,1/1/1927,Wood,,,0,,47
48,Airplane Coaster,Playland,Removed,Frank W. Darling,1928,40.9658,-73.6739,5/26/1928,Wood,40,,0,,48
49,Monta?a Suiza,Monte Igueldo Amusement Park,Operating,,1928,43.3207,-2.0107,1/1/1928,Other,31,,0,,49
50,Dragon Coaster (Playland),Playland,Operating,,1929,40.9675,-73.6739,1/1/1929,Wood,,78.7,0,,50
51,Flying Turns (Euclid Beach Park),"Cleveland, Ohio, United States",Closed,,1930,41.58,-81.57,,Other,,,0,,51
52,Yankee Cannonball,Canobie Lake Park,Operating,Philadelphia Toboggan Coasters,1930,42.7953,-71.2492,1/1/1930,Wood,35,65,0,,52
53,Roller Coaster (Great Yarmouth Pleasure Beach),Great Yarmouth Pleasure Beach,Operating,,1932,52.5928,1.7361,5/1/1932,Wood,45,,0,,53
54,Nickelodeon Streak,Blackpool Pleasure Beach,Operating,,1933,53.7908,-3.0544,1/1/1933,Wood,35,,0,3,54
55,Zipper Dipper,Blackpool Pleasure Beach,Operating,,1934,53.7902,-3.0539,1/1/1934,Other,,,0,,55
56,Big Dipper (Luna Park Sydney),Other,,,1935,,,,Wood,58,,0,,56
57,Grand National (roller coaster),Blackpool Pleasure Beach,Closed,,1935,53.7919,-3.0531,1/1/1935,Wood,40,,0,3.2,57
58,Blue Streak (Conneaut Lake),Conneaut Lake Park,Closed,,1937,41.6349,-80.318,5/23/1938,Wood,50,,0,,58
59,Rollo Coaster,Idlewild and Soak Zone,Operating,Philadelphia Toboggan Coasters,1938,40.2602,-79.2814,1/1/1938,Wood,25,,0,,59
60,Cyclone (Lakeside Amusement Park),Lakeside Amusement Park,Operating,,1940,39.7808,-105.054,5/17/1940,Wood,55,,0,,60
61,Flyer Comet (Whalom Park),Whalom Park,Removed,National Amusement Devices,1940,42.5762,-71.746,1/1/1940,Wood,40,,0,,61
62,Giant Skyrocket,Other,,Lake Contrary Amusement Park,1941,,,,Wood,,,0,,62
63,Thunderbolt (Six Flags New England),Six Flags New England,Operating,Joseph E. Drambour,1941,42.0389,-72.6133,1/1/1941,Wood,40,,0,,63
64,Comet (Hersheypark),Hersheypark,Operating,Philadelphia Toboggan Coasters,1946,40.2864,-76.6556,1/1/1946,Wood,50,,0,,64
65,Comet (Lincoln Park),Lincoln Park,Removed,National Amusement Devices,1946,41.6362,-71.0432,10/1/1946,Wood,55,,0,,65
66,Little Dipper (Conneaut Lake Park),Conneaut Lake Park,Operating,Allan Herschell Company,1950,41.6343,-80.3165,1/1/1950,Steel,,,0,,66
67,Little Dipper (Six Flags Great America),Other,,Philadelphia Toboggan Coasters,1950,,,,Wood,25,,0,,67
68,Big Dipper (Battersea Park),Battersea Park,Removed,,1951,51.4794,-0.1569,1/1/1951,Wood,,49.2,0,,68
69,Comet (Waldameer),Waldameer Park,Operating,Philadelphia Toboggan Coasters,1951,42.1077,-80.1568,1/1/1951,Wood,25,,0,,69
70,Vuoristorata,Linnanm?ki,Operating,"Linnanm?ki, led by Svend Jarlstr?m",1951,60.1886,24.9417,7/13/1951,Wood,37.3,78.7,0,,70
71,Little Dipper (Memphis Kiddie Park),Memphis Kiddie Park,Operating,Allan Herschell Company,1952,41.4405,-81.7577,4/1/1952,Steel,,,0,,71
72,High Speed Thrill Coaster,Knoebels Amusement Resort,Removed,,1955,40.8801,-76.5027,1/1/1955,Steel,,,0,,72
73,Sea Dragon (roller coaster),Rides At Adventure Cove,Operating,Philadelphia Toboggan Coasters,1956,40.1544,-83.1203,1/1/1956,Wood,25,,0,,73
74,Big Dipper (Camden Park),Camden Park,Operating,National Amusement Devices,1958,,,1/1/1958,Other,,,0,,74
75,Wild Mouse (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Removed,Blackpool Pleasure Beach,1958,53.7913,-3.0561,1/1/1958,Wood,35,,0,1.8,75
76,Wooden Roller Coaster (Playland),Playland,Not Currently Operating,,1958,49.2824,-123.0352,1/1/1958,Wood,49.7,,0,,76
77,Matterhorn Bobsleds,Other,Operating,Arrow Development,1959,,,6/14/1959,Steel,27,,0,,77
78,Tornado (Wedgewood Village Amusement Park),"63rd and N.W. Expressway, Oklahoma City, Oklahoma, U.S.",Closed,,1961,,,,Other,,,0,,78
79,Blue Streak (Cedar Point),Cedar Point,Operating,Philadelphia Toboggan Coasters,1964,41.4799,-82.6826,5/23/1964,Wood,40,,0,,79
80,Jetstream (roller coaster),Riverview Park,Removed,Philadelphia Toboggan Coasters,1964,41.9418,-87.6907,1/1/1964,Wood,,,0,,80
81,Monta?a Rusa (La Feria Chapultepec M?gico),La Feria Chapultepec M?gico,Removed,National Amusement Devices,1964,19.4164,-99.1956,10/22/1964,Wood,,,0,,81
82,Giant Coaster (Fuji-Q Highland),Fuji-Q Highland,Removed,Sansei Technologies,1966,35.487,138.78,1/1/1966,Steel,49.7,131.2,0,,82
83,Runaway Mine Train (Six Flags Over Texas),Six Flags Over Texas,Operating,Arrow Development,1966,32.7585,-97.0685,7/23/1966,Steel,35,,0,,83
84,Swamp Fox (roller coaster),Family Kingdom Amusement Park,Operating,Philadelphia Toboggan Coasters,1966,33.6825,-78.8917,1/1/1966,Wood,50,,0,,84
85,Cannon Ball (roller coaster),Lake Winnepesaukah,Operating,Philadelphia Toboggan Coasters,1967,,,1/1/1967,Wood,50,,0,,85
86,Dahlonega Mine Train,Six Flags Over Georgia,Operating,Arrow Dynamics,1967,33.7676,-84.5519,6/16/1967,Steel,29,,0,,86
87,Alpine Sleigh Ride,Other,Removed,,1968,,,6/1/1968,Other,,,0,,87
88,Thunderbolt (Kennywood),Kennywood,Operating,,1968,40.3889,-79.865,1/1/1968,Wood,55,,0,,88
89,Cedar Creek Mine Ride,Cedar Point,Operating,Arrow Development,1969,41.4847,-82.6904,5/24/1969,Steel,42,,0,,89
90,Mini Mine Train (Six Flags Over Texas),"Arlington, Texas, U.S.",Operating,,1969,32.7557,-97.0702,,Other,,,0,,90
91,Serpent (roller coaster),Six Flags AstroWorld,Removed,Arrow Dynamics,1969,29.676,-95.407,1/1/1969,Steel,14,,0,,91
92,Daidarasaurus,Expoland,Removed,Sansei Technologies,1970,34.8044,135.5359,1/1/1970,Steel,44.7,91.9,0,,92
93,Galaxi,Other,In Production,,1970,,,,Other,,,0,,93
94,Jet Star (Casino Pier),Casino Pier,Removed,Anton Schwarzkopf,1970,39.9426,-74.0692,1/1/1970,Steel,31.1,,0,,94
95,Wildcat (Jolly Roger Amusement Park),Other,,Anton Schwarzkopf,1970,,,,Steel,,,0,,95
96,Gold Rusher,Six Flags Magic Mountain,Operating,Arrow Development,1971,34.424,-118.5985,5/29/1971,Steel,35,,0,3.4,96
97,Magic Flyer (roller coaster),Other,,Bradley and Kaye,1971,,,,Steel,10,,0,2.1,97
98,River King Mine Train,Six Flags St. Louis,Operating,Arrow Dynamics,1971,38.5155,-90.6738,6/5/1971,Steel,37,,0,,98
99,Excalibur (Six Flags AstroWorld),Six Flags AstroWorld,Removed,Arrow Dynamics,1972,29.675,-95.407,1/1/1972,Steel,46,,0,,99
100,Fire in the Hole (Silver Dollar City),Silver Dollar City,Operating,Herschend Family Entertainment,1972,36.6703,-93.3407,1/1/1972,Steel,27,,0,,100
101,Jumbo Jet (Cedar Point),Other,,Anton Schwarzkopf,1972,,,,Steel,,,0,,101
102,The Racer (Kings Island),Other,Operating,Philadelphia Toboggan Coasters,1972,39.3437,-84.2647,4/29/1972,Wood,53,,0,,102
103,Rock n' Roller Coaster (Opryland),Other,,Arrow Development,1972,,,,Steel,45,,0,,103
104,Scooby-Doo (Kings Island),Kings Island,Operating,Philadelphia Toboggan Coasters,1972,39.3432,-84.2693,1/1/1972,Wood,35,,0,,104
105,Toboggan (Hersheypark),Hersheypark,Removed,Chance Rides,1972,40.2866,-76.6561,1/1/1972,Steel,,,0,,105
106,Carolina Goldrusher,Carowinds,Operating,Arrow Dynamics,1973,,,3/31/1973,Steel,30,,0,2.4,106
107,Great American Scream Machine (Six Flags Over Georgia),Six Flags Over Georgia,Operating,Philadelphia Toboggan Coasters,1973,33.7658,-84.5514,3/31/1973,Wood,57,,0,3.7,107
108,Schussboomer,Worlds of Fun,Removed,Anton Schwarzkopf,1973,39.1773,-94.489,5/26/1973,Steel,,,0,,108
109,Big Fury,Six Flags Great Adventure,Removed,Pinfari,1974,40.138,-74.441,1/1/1974,Steel,,,0,,109
110,Mini-Comet,Hersheypark,Removed,B.A. Schiff & Associates,1974,40.288,-76.657,5/10/1974,Steel,,15,0,,110
111,Runaway Mine Train (Six Flags Great Adventure),"Jackson, New Jersey, United States",Operating,,1974,40.1377,-74.4405,,Other,,,0,,111
112,Scooby-Doo (Kings Dominion),Kings Dominion,Operating,Philadelphia Toboggan Coasters,1974,37.8405,-77.4422,1/1/1974,Wood,35,,0,,112
113,Trailblazer (roller coaster),Hersheypark,Operating,Arrow Development,1974,40.2892,-76.6535,5/14/1974,Steel,35,,0,,113
114,Corkscrew (Knott's Berry Farm),Other,,Arrow Development,1975,,,,Steel,46,,2,,114
115,Glissade (roller coaster),Busch Gardens Williamsburg,Removed,Anton Schwarzkopf,1975,37.235,-76.644,1/1/1975,Steel,,,0,,115
116,Racer 75,Other,Operating,Philadelphia Toboggan Coasters,1975,37.8371,-77.4449,5/3/1975,Wood,56,,0,4.2,116
117,Rockin' Roller,Six Flags St. Louis,Removed,Bradley and Kaye,1975,38.5128,-90.675,1/1/1975,Steel,,,0,,117
118,Scooby-Doo (Carowinds),Carowinds,Operating,Philadelphia Toboggan Coasters,1975,35.101,-80.9394,1/1/1975,Wood,36,,0,,118
119,Space Mountain (Magic Kingdom),Other,Operating,Arrow Development,1975,28.4192,-81.5772,1/15/1975,Steel,27,,0,3.7,119
120,Wabash Cannonball (roller coaster),Opryland USA,Removed,Arrow Development,1975,36.2089,-86.6984,1/1/1975,Steel,50,,2,,120
121,Alpen Blitz,Six Flags Great Adventure,Removed,Anton Schwarzkopf,1976,40.1371,-74.4411,1/1/1976,Steel,10,,0,1,121
122,Corkscrew (Cedar Point),Cedar Point,Operating,Arrow Development,1976,41.4836,-82.6853,5/15/1976,Steel,48,,3,,122
123,Demon (roller coaster),Other,,Arrow Dynamics,1976,,,,Steel,50,,4,,123
124,Extremeroller,Worlds of Fun,Removed,Arrow Dynamics,1976,39.1728,-94.4892,1/1/1976,Steel,50,,2,,124
125,Gulf Coaster,Other,,Allan Herschell Company,1976,,,,Steel,,,0,,125
126,High Roller (Valleyfair),Valleyfair,Operating,Rauenhorst Corporation,1976,44.8006,-93.4578,1/1/1976,Wood,50,,0,3.2,126
127,Jet Star 2 (Lagoon),Lagoon Amusement Park,Operating,Anton Schwarzkopf,1976,40.9869,-111.8936,1/1/1976,Steel,,,0,,127
128,Jumbo Jet (Morey's Piers),Morey's Piers,Removed,Anton Schwarzkopf,1976,38.986,-74.809,1/1/1976,Steel,50,,0,,128
129,Lil' Thunder,Six Flags Great Adventure,Removed,Molina & Sons,1976,40.138,-74.44,1/1/1976,Steel,5,,0,,129
130,Mild Thing,Valleyfair,Removed,Allan Herschell Company,1976,44.7996,-93.4575,1/1/1976,Steel,,,0,,130
131,Python (Busch Gardens Tampa Bay),Busch Gardens Tampa Bay,Removed,Arrow Development,1976,28.039,-82.4251,7/1/1976,Steel,40,,2,,131
132,The New Revolution (roller coaster),Six Flags Magic Mountain,Operating,Anton Schwarzkopf,1976,34.4228,-118.5964,5/8/1976,Steel,55,,1,4.9,132
133,Screamin' Eagle,Six Flags St. Louis,Operating,Philadelphia Toboggan Coasters,1976,38.5164,-90.6761,4/10/1976,Wood,62,,0,,133
134,Texas Cyclone,Six Flags AstroWorld,Removed,Frontier Construction Company,1976,29.6767,-95.4097,6/12/1976,Wood,,,0,,134
135,Thunder Road (roller coaster),Other,Removed,Philadelphia Toboggan Coasters,1976,35.1004,-80.9426,4/3/1976,Wood,58,,0,3.4,135
136,Whizzer (roller coaster),Other,,Anton Schwarzkopf,1976,,,,Other,42,,0,3,136
137,Double Loop (Geauga Lake),Geauga Lake,Removed,Arrow Dynamics,1977,41.3528,-81.3774,1/1/1977,Steel,36,,2,,137
138,Screamin' Demon,Other,,Arrow Dynamics,1977,,,,Steel,45,,1,4,138
139,Shuttle Loop,Other,Discontinued,Anton Schwarzkopf,1977,,,,Other,,,2,,139
140,SooperDooperLooper,Hersheypark,Operating,Anton Schwarzkopf,1977,40.2864,-76.6536,7/4/1977,Steel,45,,1,,140
141,Space Mountain (Disneyland),Disneyland,Operating,Arrow Development (1977–2003)Dynamic Structures (2005–present)]],1977,33.811,-117.9174,5/27/1977,Steel,35,,0,,141
142,Steeplechase (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,Arrow Dynamics,1977,53.7888,-3.0558,1/1/1977,Steel,,,0,,142
143,Arkansas Twister,Magic Springs and Crystal Falls,Operating,Michael Black and Associates,1978,34.5213,-93.0143,1/1/1978,Wood,50,,0,,143
144,Colossus (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Rocky Mountain Construction,1978,34.4278,-118.5975,5/23/2015,Steel,57,,2,,144
145,Gemini (roller coaster),Other,Operating,Arrow Dynamics,1978,41.4863,-82.6897,6/17/1978,Steel,60,,0,,145
146,Greezed Lightnin' (Six Flags Astroworld),Other,Discontinued,Anton Schwarzkopf,1978,,,,Other,,,2,,146
147,Lightnin' Loops,Other,,Arrow Development,1978,40.1358,-74.4437,,Steel,45,,1,4,147
148,Loch Ness Monster (roller coaster),Busch Gardens Williamsburg,Operating,Arrow Development,1978,37.2343,-76.646,6/6/1978,Steel,60,,2,3.5,148
149,Montezooma's Revenge,Knott's Berry Farm,Operating,Anton Schwarzkopf,1978,33.8456,-117.999,5/21/1978,Steel,55,,2,,149
150,Schweizer Bobbahn,Heide Park,Operating,Mack Rides,1978,,,8/19/1978,Steel,32.9,,0,,150
151,Shock Wave (Six Flags Over Texas),Six Flags Over Texas,Operating,Anton Schwarzkopf,1978,32.7589,-97.0706,4/22/1978,Steel,60,,2,5.9,151
152,The Riddler Mindbender,Six Flags Over Georgia,Operating,Anton Schwarzkopf,1978,33.7703,-84.5475,3/31/1978,Steel,50,,2,,152
153,Tornado (Adventureland),Adventureland (Iowa),Operating,Frontier Construction Company,1978,41.6515,-93.5025,7/4/1978,Wood,58,,0,,153
154,Wild Rider,Six Flags Great Adventure,Removed,Anton Schwarzkopf,1978,40.1363,-74.4416,1/1/1978,Steel,,,0,,154
155,The Beast (roller coaster),Kings Island,Operating,Kings Island,1979,39.3402,-84.266,4/14/1979,Wood,64.8,,0,3.6,155
156,Big Thunder Mountain Railroad,Other,,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",1979,,,,Steel,35,,0,,156
157,Big Thunder Mountain Railroad (Disneyland),Other,,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",1979,,,,Steel,35,,0,,157
158,Corkscrew (Michigan's Adventure),"Muskegon, Michigan, United States",Operating,,1979,43.3474,-86.2789,,Other,,,0,,158
159,Momonga Standing and Loop Coaster,Yomiuriland,Removed,TOGO,1979,35.6245,139.5193,1/1/1979,Steel,46.6,,1,,159
160,Revolution (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,Arrow Development,1979,53.7899,-3.0551,1/1/1979,Steel,45,,2,4,160
161,Rolling Thunder (roller coaster),Other,Removed,William Cobb & Associates,1979,40.1394,-74.4343,1/1/1979,Wood,56,,0,,161
162,WildCat (Cedar Point),Cedar Point,Removed,Anton Schwarzkopf,1979,41.4817,-82.685,1/1/1979,Steel,40,,0,,162
163,Wilderness Run,Cedar Point,Operating,Intamin,1979,41.4856,-82.6886,1/1/1979,Steel,6,,0,,163
164,Carolina Cyclone,Carowinds,Operating,Arrow Dynamics,1980,35.1042,-80.9436,3/22/1980,Steel,41,,4,3.5,164
165,Corkscrew (Alton Towers),Alton Towers,Removed,Vekoma,1980,52.9847,-1.8904,4/4/1980,Other,40,,2,3.1,165
166,Corkscrew (Valleyfair),Valleyfair,Operating,Arrow Dynamics,1980,44.7996,-93.4563,1/1/1980,Steel,50,,3,3.5,166
167,Judge Roy Scream,Six Flags Over Texas,Operating,William Cobb & Associates,1980,32.7554,-97.0673,3/1/1980,Wood,45,,0,4,167
168,Orient Express (roller coaster),Worlds of Fun,Removed,Arrow Dynamics,1980,39.1761,-94.4883,4/4/1980,Steel,50,,4,3.5,168
169,Scorpion (roller coaster),Busch Gardens Tampa Bay,Operating,Anton Schwarzkopf,1980,28.0375,-82.4233,5/16/1980,Steel,41,,1,3.5,169
170,Shuttle Loop (Nagashima Spa Land),Nagashima Spa Land,Operating,Anton Schwarzkopf,1980,35.0303,136.7308,1/1/1980,Steel,57,,2,,170
171,The Beastie (Kings Island),Kings Island,Operating,Philadelphia Toboggan Coasters,1980,39.3432,-84.2693,1/1/1972,Wood,35,,0,,171
172,American Eagle (roller coaster),Other,Operating,Intamin,1981,42.3646,-87.9336,5/23/1981,Wood,66,,0,,172
173,The Bat (Kings Island; opened 1981),Kings Island,Removed,Arrow Development,1981,39.3408,-84.2646,4/26/1981,Steel,34,,0,,173
174,Colossus (Playcenter S?o Paulo),Other,,Anton Schwarzkopf,1981,,,,Steel,52,,2,,174
175,Dragon Fyre,Canada's Wonderland,Operating,Arrow Dynamics,1981,43.8445,-79.5407,1/1/1981,Steel,49.7,78.1,4,,175
176,Ghoster Coaster (Canada's Wonderland),Canada's Wonderland,Operating,Taft Broadcasting,1981,43.8438,-79.546,5/23/1981,Wood,34.8,41,0,,176
177,Hoot N Holler,Six Flags Darien Lake,Operating,Zierer,1981,42.9272,-78.3823,1/1/1981,Steel,16.2,,0,,177
178,Mighty Canadian Minebuster,Canada's Wonderland,Operating,Canada's Wonderland,1981,43.8392,-79.5419,1/1/1981,Wood,55.9,89.9,0,,178
179,Python (Efteling),Efteling,Operating,Vekoma,1981,51.6469,5.0536,4/12/1981,Steel,46.6,95.1,4,3.5,179
180,Super Manège,La Ronde,Removed,Vekoma,1981,45.5238,-73.5325,1/1/1981,Steel,39.8,75.5,2,,180
181,Thunder Run (Canada's Wonderland),Canada's Wonderland,Operating,Mack Rides,1981,43.8427,-79.5423,5/23/1981,Steel,39.8,32.8,0,,181
182,Wilde Beast,Canada's Wonderland,Operating,Taft Broadcasting Company,1981,43.8441,-79.5432,1/1/1981,Wood,55.9,82,0,,182
183,Grizzly (Kings Dominion),Kings Dominion,Operating,Taft Broadcasting Company,1982,37.8375,-77.4471,3/27/1982,Wood,51,,0,,183
184,Looping Star (Nagashima Spa Land),Nagashima Spa Land,Operating,Anton Schwarzkopf,1982,35.0306,136.7323,1/1/1982,Steel,40,,1,,184
185,Sea Viper (roller coaster),Sea World,Removed,Arrow Dynamics,1982,-27.9569,153.4265,9/17/1982,Steel,43.5,91.9,3,,185
186,Thrillseeker (roller coaster),Sea World,Removed,S.D.C.,1982,-27.9567,153.425,1/1/1982,Steel,40.4,45.9,0,,186
187,Thunderbolt (Dreamworld),Dreamworld,Removed,Sanoyas Hishino Meisho,1982,-27.8651,153.3165,4/1/1982,Steel,54.1,101.7,2,,187
188,Viper (Six Flags Darien Lake),Six Flags Darien Lake,Operating,Arrow Dynamics,1982,42.9283,-78.3817,5/29/1982,Steel,50,,5,,188
189,Vortex (Calaway Park),Calaway Park,Operating,Arrow Dynamics,1982,51.0875,-114.3594,1/1/1982,Steel,,,2,,189
190,Alpen Blitz (Parque de la Ciudad),"Argentina, Villa Soldati, Buenos Aires",,,1983,,,,Other,,,0,,190
191,Beastie (Alton Towers),Alton Towers,Removed,Pinfari,1983,52.9893,-1.8945,1/1/1983,Steel,17,,0,,191
192,Black Hole (roller coaster),Alton Towers,Removed,Anton Schwarzkopf,1983,52.9873,-1.8953,1/1/1983,Steel,32,,0,2.9,192
193,Colossus the Fire Dragon,Lagoon Amusement Park,Operating,Anton Schwarzkopf,1983,40.9836,-111.8951,1/1/1983,Steel,55,,2,4.9,193
194,Cyclone (Six Flags New England),Six Flags New England,Operating,Rocky Mountain Construction,1983,42.0403,-72.6156,5/24/2015,Steel,55,,3,,194
195,Dragon Mountain,Marineland of Canada,Operating,Arrow Huss,1983,43.0613,-79.0804,7/16/1983,Steel,50,,4,,195
196,Flitzer,Morey's Piers,Removed,Zierer,1983,38.9893,-74.8033,1/1/1983,Steel,,,0,,196
197,Moonsault Scramble,Fuji-Q Highland,Removed,Meisho Amusement Machines,1983,35.487,138.78,6/24/1983,Steel,55.9,,2,6.5,197
198,Sky Screamer (Six Flags AstroWorld),Six Flags AstroWorld,,Intamin,1983,29.675,-95.407,1/1/1983,Other,,,0,4.5,198
199,Space Mountain (Tokyo Disneyland),Other,Operating,,1983,,,4/15/1983,Steel,30,,0,,199
200,Timberline Twister,"8039 Beach BoulevardBuena Park, California 90620, U.S.",,,1983,33.8442,-118.0003,,Other,,,0,,200
201,Alpenexpress Enzian,Europa-Park,Operating,Mack Rides,1984,,,1/1/1984,Steel,28,19.7,0,,201
202,Alpine Bobsled,Other,,Intamin,1984,,,,Steel,35,,0,,202
203,Astro Storm,Other,,Zierer,1984,,,,Steel,37,,0,2.6,203
204,Big Bad Wolf (roller coaster),Busch Gardens Williamsburg,Removed,Arrow Dynamics,1984,37.2335,-76.6449,6/15/1984,Steel,48,,0,4,204
205,Boomerang (roller coaster),Other,In Production,Vekoma,1984,,,,Other,47,116.5,6,,205
