,Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Latitude,Longitude,Opening_Date_Clean,Type_Main,Speed_Mph,Height_Ft,Inversions_Clean,Gforce_Clean,No
765,Sky Rocket,Kennywood Park,Operating,Premier Rides,2010,40.3864,-79.8647,6/29/2010,Steel,50,,3,0.8,765
766,Space Fantasy – The Ride,Universal Studios Japan,Operating,Mack Rides,2010,34.6653,135.4357,3/18/2010,Steel,,23,0,,766
767,Thirteen (roller coaster),Alton Towers,Operating,Intamin,2010,52.9847,-1.8904,3/20/2010,Steel,42,,0,3.2,767
768,Viking Voyage,"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",Operating,,2010,28.3303,-81.5147,,Other,,,0,,768
769,Woodstock Express (Carowinds),Carowinds,Operating,Philadelphia Toboggan Coasters,2010,35.101,-80.9394,1/1/1975,Wood,36,,0,,769
770,Woodstock Express (Kings Island),Kings Island,Operating,Philadelphia Toboggan Coasters,2010,39.3432,-84.2693,1/1/1972,Wood,35,,0,,770
771,Accelerator (roller coaster),Drayton Manor,Operating,Vekoma,2011,52.6108,-1.7134,4/21/2011,Steel,37.3,65.6,0,3,771
772,Black Diamond (roller coaster),Knoebels Amusement Resort,Operating,Philadelphia Toboggan Coasters,2011,40.8797,-76.5068,10/8/2011,Steel,,,0,,772
773,Blue Flyer,Blackpool Pleasure Beach,Operating,,2011,53.7902,-3.0539,1/1/1934,Other,,,0,,773
774,BomBora (Lagoon),Lagoon,Operating,Lagoon,2011,40.9855,-111.8923,4/2/2011,Steel,31,,0,,774
775,BuzzSaw (roller coaster),Dreamworld,Removed,Maurer AG,2011,-27.8623,153.3149,9/17/2011,Steel,65.2,151.6,2,5,775
776,Cheetah Hunt,Busch Gardens Tampa Bay,Operating,Intamin,2011,28.0342,-82.42,5/27/2011,Steel,60,,1,4,776
777,Dare Devil Dive,Six Flags Over Georgia,Operating,Gerstlauer,2011,33.7703,-84.5479,5/28/2011,Steel,52,,3,,777
778,Eurofighter (Zoosafari Fasanolandia),Zoosafari Fasanolandia,Operating,Gerstlauer,2011,40.8303,17.3398,8/6/2011,Steel,43.5,75.5,2,,778
779,Green Lantern Coaster,Warner Bros. Movie World,Operating,S&S – Sansei Technologies,2011,-27.9073,153.3136,12/23/2011,Steel,41,108.3,2,3.5,779
780,Hair Raiser,Ocean Park Hong Kong,Operating,Bolliger & Mabillard,2011,22.2357,114.1725,12/8/2011,Steel,54.7,,4,4,780
781,Krake,Heide Park,Operating,Bolliger & Mabillard,2011,53.0247,9.879,4/16/2011,Steel,64,134.5,1,,781
782,New Texas Giant,Six Flags Over Texas,Operating,Rocky Mountain Construction,2011,32.7564,-97.0731,4/22/2011,Steel,65,,0,4.2,782
783,Raptor (Gardaland),Gardaland,Operating,Bolliger & Mabillard,2011,45.4571,10.7119,4/1/2011,Steel,55.9,,3,,783
784,Road Runner Express (Six Flags Magic Mountain),Other,,Vekoma,2011,,,,Steel,21.7,,0,,784
785,Sky Scrapper,World Joyland,Operating,Bolliger & Mabillard,2011,31.4975,120.0411,4/30/2011,Steel,54.7,,5,3.3,785
786,Soarin' Eagle,Other,,Zamperla,2011,,,,Steel,25.7,,2,3.3,786
787,Takabisha,Fuji-Q Highland,Operating,Gerstlauer,2011,35.4853,138.78,7/16/2011,Steel,62.1,141.1,7,,787
788,Tiger Express (roller coaster),Other,,Mack Rides,2011,,,,Steel,28,45.9,0,,788
789,Timber Drop,Fraispertuis City,Operating,S&S – Sansei Technologies,2011,48.3242,6.7295,7/12/2011,Steel,41,96,2,,789
790,Untamed (roller coaster),Canobie Lake Park,Operating,Gerstlauer,2011,42.7962,-71.249,6/11/2011,Steel,44,,3,4.5,790
791,Van Helsing's Factory,Movie Park Germany,Operating,Gerstlauer,2011,51.6221,6.9752,6/18/2011,Steel,22.4,26.2,0,4,791
792,Vipère (roller coaster),Other,,Intamin,2011,,,7/1/2011,Steel,37,,0,,792
793,Wood Coaster (Mountain Flyer),OCT East,Operating,Great Coasters International,2011,22.6145,114.2968,7/19/2011,Wood,61.2,,0,,793
794,Wooden Warrior,Quassy Amusement Park,Operating,The Gravity Group,2011,41.5264,-73.1509,4/23/2011,Wood,35,,0,,794
795,Big Grizzly Mountain Runaway Mine Cars,Hong Kong Disneyland,Under Maintenance,Vekoma,2012,22.3102,114.0425,7/14/2012,Steel,44.7,,0,,795
796,Cliffhanger (Colorado roller coaster),Other,,S&MC,2012,,,,Steel,34,,0,,796
797,Dauling Dragon,Other,Operating,Martin & Vleminckx,2012,30.5912,114.3879,4/29/2012,Wood,,,0,,797
798,Dinoconda,China Dinosaurs Park,Operating,S&S – Sansei Technologies,2012,31.8245,119.9955,4/29/2012,Steel,78.3,,3,,798
799,Dragonfly (roller coaster),Duinrell,Operating,Gerstlauer,2012,52.1472,4.3785,3/31/2012,Steel,31.1,49.2,0,2.9,799
800,Firebird (roller coaster),Other,,Bolliger & Mabillard,2012,,,,Steel,55,,2,,800
801,Goliath (Six Flags New England),Other,,Vekoma,2012,,,,Steel,65.6,,3,4.5,801
